# time all uniq bad data cbctl flowsub flowbcn flowack
0.000000 0 0 0 0 0 0 0 0
60.000000 0 0 0 0 0 0 0 0
120.000000 0 0 0 0 0 0 0 0
180.000000 0 0 0 0 0 0 0 0
240.000000 0 0 0 0 0 0 0 0
300.000000 0 0 0 0 0 0 0 0
360.000000 0 0 0 0 0 0 0 0
420.000000 0 0 0 0 0 0 0 0
480.000000 0 0 0 0 0 0 0 0
540.000000 0 0 0 0 0 0 0 0
600.000000 0 0 0 0 0 0 0 0
660.000000 0 0 0 0 0 0 0 0
720.000000 0 0 0 0 0 0 0 0
780.000000 0 0 0 0 0 0 0 0
840.000000 0 0 0 0 0 0 0 0
900.000000 0 0 0 0 0 0 0 0
960.000000 0 0 0 0 0 0 0 0
1020.000000 0 0 0 0 0 0 0 0
1080.000000 0 0 0 0 0 0 0 0
1140.000000 0 0 0 0 0 0 0 0
1200.000000 0 0 0 0 0 0 0 0
1260.000000 0 0 0 0 0 0 0 0
1320.000000 0 0 0 0 0 0 0 0
1380.000000 0 0 0 0 0 0 0 0
1440.000000 0 0 0 0 0 0 0 0
1500.000000 0 0 0 0 0 0 0 0
1560.000000 0 0 0 0 0 0 0 0
1620.000000 0 0 0 0 0 0 0 0
1680.000000 0 0 0 0 0 0 0 0
1740.000000 0 0 0 0 0 0 0 0
1800.000000 0 0 0 0 0 0 0 0
1860.000000 0 0 0 0 0 0 0 0
1920.000000 0 0 0 0 0 0 0 0
1980.000000 0 0 0 0 0 0 0 0
2040.000000 0 0 0 0 0 0 0 0
2100.000000 0 0 0 0 0 0 0 0
2160.000000 0 0 0 0 0 0 0 0
2220.000000 0 0 0 0 0 0 0 0
2280.000000 0 0 0 0 0 0 0 0
2340.000000 0 0 0 0 0 0 0 0
2400.000000 0 0 0 0 0 0 0 0
2460.000000 0 0 0 0 0 0 0 0
2520.000000 0 0 0 0 0 0 0 0
2580.000000 0 0 0 0 0 0 0 0
2640.000000 0 0 0 0 0 0 0 0
2700.000000 0 0 0 0 0 0 0 0
2760.000000 0 0 0 0 0 0 0 0
2820.000000 0 0 0 0 0 0 0 0
2880.000000 0 0 0 0 0 0 0 0
2940.000000 0 0 0 0 0 0 0 0
3000.000000 0 0 0 0 0 0 0 0
3060.000000 0 0 0 0 0 0 0 0
3120.000000 0 0 0 0 0 0 0 0
3180.000000 0 0 0 0 0 0 0 0
3240.000000 0 0 0 0 0 0 0 0
3300.000000 0 0 0 0 0 0 0 0
3360.000000 0 0 0 0 0 0 0 0
3420.000000 0 0 0 0 0 0 0 0
3480.000000 0 0 0 0 0 0 0 0
3540.000000 0 0 0 0 0 0 0 0
3600.000000 0 0 0 0 0 0 0 0
3660.000000 0 0 0 0 0 0 0 0
3720.000000 0 0 0 0 0 0 0 0
